firstName,lastName,email,phone,gender,birthDate,birthPlace,nationality,address,city,parentName,parentEmail,parentPhone,parentOccupation,parentAddress,level,class,classesId,enrollmentDate,enrollmentYear,status,academicStatus,bloodGroup,allergies,medicalConditions,emergencyContactName,emergencyContactRelationship,emergencyContactPhone
Jean,Martin,jean.martin@email.com,677891234,male,2012-03-15,Yaoundé,Cameroonian,Rue 123,Yaoundé,Pierre Martin,pierre.martin@email.com,677891235,Ingénieur,Rue 123,6ème,68f30404f1877b0a89c2ea91,68dc62a718f276502c51676a,2024-09-01,2024-2025,active,regular,A+,Pollen;Poussière,Asthma,Marie Martin,Mère,677891236
Marie,Dubois,marie.dubois@email.com,677891237,female,2012-07-22,Douala,Cameroonian,Avenue 456,Douala,Paul Dubois,paul.dubois@email.com,677891238,Enseignant,Avenue 456,6ème,68f30404f1877b0a89c2ea91,68dc62a718f276502c51676b,2024-09-01,2024-2025,active,regular,O-,Aucune,Aucune,Sophie Dubois,Sœur,677891239
Pierre,Ngando,pierre.ngando@email.com,677891240,male,2012-11-30,Bafoussam,Cameroonian,Boulevard 789,Bafoussam,Jacques Ngando,jacques.ngando@email.com,677891241,Médecin,Boulevard 789,6ème,68f30404f1877b0a89c2ea91,68dc62a718f276502c51676c,2024-09-01,2024-2025,active,regular,B+,Arachides,Diabète,Alice Ngando,Mère,677891242
Sophie,Tata,sophie.tata@email.com,677891243,female,2012-01-10,Garoua,Cameroonian,Rue 101112,Garoua,Marc Tata,marc.tata@email.com,677891244,Commerçant,Rue 101112,6ème,68f30a9ab0f96a26d97ad5a9,68dc62a718f276502c51676d,2024-09-01,2024-2025,active,repeating,AB-,Lactose,Hypertension,Julie Tata,Tante,677891245
Luc,Njike,luc.njike@email.com,677891246,male,2012-09-05,Bamenda,Cameroonian,Avenue 131415,Bamenda,Thomas Njike,thomas.njike@email.com,677891247,Architecte,Avenue 131415,6ème,68f30a9ab0f96a26d97ad5a9,68dc62a718f276502c51676e,2024-09-01,2024-2025,active,regular,A-,Abeilles,Épilepsie,Claire Njike,Mère,677891248
Paul,Kamga,paul.kamga@email.com,677891249,male,2011-04-18,Yaoundé,Cameroonian,Rue 161718,Yaoundé,David Kamga,david.kamga@email.com,677891250,Avocat,Rue 161718,5ème,68f50cbf2d95e42f95138215,68dc62a718f276502c51676f,2024-09-01,2024-2025,active,regular,B-,Pollen,Allergie cutanée,Sarah Kamga,Mère,677891251
Alice,Mbappe,alice.mbappe@email.com,677891252,female,2011-08-25,Douala,Cameroonian,Avenue 192021,Douala,Robert Mbappe,robert.mbappe@email.com,677891253,Infirmier,Avenue 192021,5ème,68f50cbf2d95e42f95138215,68dc62a718f276502c516770,2024-09-01,2024-2025,active,regular,O+,Aucune,Aucune,Emma Mbappe,Sœur,677891254
David,Ebong,david.ebong@email.com,677891255,male,2011-12-12,Bafoussam,Cameroonian,Boulevard 222324,Bafoussam,Michel Ebong,michel.ebong@email.com,677891256,Ingénieur,Boulevard 222324,5ème,68f50cbf2d95e42f95138215,68dc62a718f276502c516771,2024-09-01,2024-2025,active,advanced,A+,Coquillages,Problèmes cardiaques,Laura Ebong,Mère,677891257
Emma,Fotso,emma.fotso@email.com,677891258,female,2011-02-28,Garoua,Cameroonian,Rue 252627,Garoua,Patrick Fotso,patrick.fotso@email.com,677891259,Enseignant,Rue 252627,5ème,68f50cbf2d95e42f95138217,68dc62a718f276502c516772,2024-09-01,2024-2025,active,regular,AB+,Aucune,Asthme,Chantal Fotso,Mère,677891260
Thomas,Ndi,thomas.ndi@email.com,677891261,male,2011-06-14,Bamenda,Cameroonian,Avenue 282930,Bamenda,Richard Ndi,richard.ndi@email.com,677891262,Médecin,Avenue 282930,5ème,68f50cbf2d95e42f95138217,68dc62a718f276502c516773,2024-09-01,2024-2025,active,repeating,B+,Poussière,Diabète,Martine Ndi,Mère,677891263
